STORE_CD|PLU_CD|SCAN_CD1|SCAN_CD2|PLU_NM|BRAND_CD|GPLU_CDNRL_PRC|PRC_EVT_PRC|PRC_EVT_ST_DT|PRC_EVT_ED_DT
780|0000000113007|0000000113007|0000000113007|꼬끼예뜨, 꺄르뜨 도르 프리미에|138392|95000|0||
780|0000000113014|0000000113014|0000000113014|꼬끼예뜨 레 끌레 브뤼 그랑 크뤼|138392|110000|0||
780|0000008378354|0000008378354|0000008378354|시에라 네바다 페일에일(355ml/병)|138392|5000|0||
780|0000008378385|0000008378385|0000008378385|토피도 엑스트라 아이피에이|138392|5000|0||
780|0000008588607|0000008588607|0000008588607|GFV 모스카토 187ml|138392|4000|0||
780|0000029130276|0000029130276|0000029130276|바라 로제|136792|16000|0||
780|0000041001356|0000041001356|0000041001356|벡스레귤러500㎖|138392|2700|0||
780|0000049598131|0000049598131|0000049598131|월계관 더컵|138392|4000|0||
780|0000050196135|0000050196135|0000050196135|블랙앤화이트|138392|18000|0||
780|0000050196838|0000050196838|0000050196838|블랙앤화이트|138392|7000|0||
780|0000050213085|0000050213085|0000050213085|기네스캔440㎖|138392|4000|0||
780|0000050213245|0000050213245|0000050213245|기네스드라프트(캔)330㎖|138392|3500|0||
780|0000054079021|0000054079021|0000054079021|세인트버나두스앱12|138392|6000|0||
780|0000054079052|0000054079052|0000054079052|세인트버나두스위트|138392|5000|0||
780|0000075970185|0000075970185|0000075970185|디플로마티코 레제르바 익스클루시바|138392|15000|0||
780|0000090383229|0000090383229|0000090383229|클림트 키스 뀌베브뤼|100549|8900|0||
780|0000093563239|0000093563239|0000093563239|미스터블랙 커피리큐르|138392|27000|0||
780|0007582940106|0007582940106|0007582940106|랜치32 카쇼|138392|35000|0||
780|0008069692347|0008069692347|0008069692347|보리우 빈야드 캘리포니아 까베르네 소|138392|51000|0||
780|0008261070008|0008261070008|0008261070008|클리프 레이디 포이트리|138392|660000|0||
780|0010465709608|0010465709608|0010465709608|인시그니아|136760|430000|0||
780|0012086008139|0012086008139|0012086008139|마르께스 데 바르가스 크리안자|136787|22000|0||
780|0013022000262|0013022000262|0013022000262|엘렉트라 레드|101235|25000|0||
780|0015917026975|0015917026975|0015917026975|AY 미국 단품 3호|100549|100000|0||
780|0015917029105|0015917029105|0015917029105|프리마크 아비 샤르도네|100549|100000|0||
780|0016697000070|0016697000070|0016697000070|데로쉐 러시안 리버 샤르도네|136786|42000|0||
780|0016697000230|0016697000230|0016697000230|데로쉐 러시안 리버 피노누아|136786|49000|0||
780|0016697000292|0016697000292|0016697000292|데로쉐 헤리티지 리저브 샤르도네|136786|18000|0||
780|0016697000308|0016697000308|0016697000308|드 라치 카버네 소비뇽99 750ML(미)|136786|18000|0||
780|0016697000650|0016697000650|0016697000650|데로쉐 헤리티지 리저브 진판델|136786|18000|0||
780|0016697000766|0016697000766|0016697000766|데로쉐 헤리티지 리저브 메를로|136786|18000|0||
780|0016697006669|0016697006669|0016697006669|데로쉐 헤리티지 리저브 피노 누아|136786|18000|0||
780|0018138202029|0018138202029|0018138202029|에드나밸리 쇼비뇽블랑 750ML(6본)|138392|21000|0||
780|0018138209028|0018138209028|0018138209028|에드나밸리 까베네쇼비뇽750ML(6본입)|138392|21000|0||
780|0018200250002|0018200250002|0018200250002|버드 740 캔|138392|3700|0||
780|0019962362057|0019962362057|0019962362057|체리 라즈 테이스티|138392|22000|0||
780|0019962362651|0019962362651|0019962362651|캣보이 미츠 뱃보이|138392|18000|0||
780|0019962615535|0019962615535|0019962615535|둠 볼륨 4|138392|20000|0||
780|0023035327300|0023035327300|0023035327300|두에마리 몬테풀치아노 다부르조|136794|20000|16000|20241011|20241031
780|0029147100244|0029147100244|0029147100244|비비 씨에나750㎖|101235|20000|0||
780|0029147100466|0029147100466|0029147100466|브라운브라더스 에버튼 레드750㎖|101235|16000|0||
780|0029147100473|0029147100473|0029147100473|브라운 브라더스 에버트 화이트750㎖|101235|25000|0||
780|0029147139985|0029147139985|0029147139985|비비모스카토10 750㎖|101235|20000|0||
780|0029147139992|0029147139992|0029147139992|BB모스카토 로사 09|101235|20000|0||
780|0029147705128|0029147705128|0029147705128|BB 브라운 브라더스 지비뽀 750ml|101235|20000|17000|20241001|20241031
780|0031259000046|0031259000046|0031259000046|조쉬 리저브 와인 세트|112885|40000|0||
780|0031259003030|0031259003030|0031259003030|조쉬 셀러스-조쉬리저브 노스코스트 샤|112885|40000|0||
780|0031259048024|0031259048024|0031259048024|조쉬 셀러스-조쉬 레거시 19 (750ml)|112885|35000|0||
780|0039383009591|0039383009591|0039383009591|믹터스 US★1 라이|138392|110000|0||
780|0039383009614|0039383009614|0039383009614|믹터스 US★1 버번|138392|110000|0||
780|0039383009638|0039383009638|0039383009638|믹터스 US★1 사워매쉬|138392|110000|0||
780|0039383009652|0039383009652|0039383009652|믹터스 US★1 아메리칸|138392|110000|0||
780|0039383009690|0039383009690|0039383009690|*믹터스 라이 10년|138392|338000|0||
780|0040003810012|0040003810012|0040003810012|세냐 2017|101235|720000|0||
780|0040232096723|0040232096723|0040232096723|캐논볼 엔젤카우보이즈|138392|40000|0||
780|0040232144936|0040232144936|0040232144936|더 하이브|136770|115000|0||
780|0040232144943|0040232144943|0040232144943|피트 침니|136770|100000|0||
780|0040232144950|0040232144950|0040232144950|스파이스 킹|136770|115000|0||
780|0051497019761|0051497019761|0051497019761|서브미션 카베르네 소비뇽|138392|22000|0||
780|0051497068820|0051497068820|0051497068820|서브미션 샤도네이|138392|21000|0||
780|0051497172312|0051497172312|0051497172312|럭키 드로|138392|22000|0||
780|0052001001669|0052001001669|0052001001669|묶음 상품 할인 2|101235|99000|0||
780|0052001001670|0052001001670|0052001001670|묶음 상품 할인 3|101235|136000|0||
780|0052001001671|0052001001671|0052001001671|묶음 상품 할인 4|101235|250000|0||
780|0075496002005|0075496002005|0075496002005|앙고스투라비터 아로마틱|138392|64000|0||
780|0075496331075|0075496331075|0075496331075|앙고스투라비터 오렌지|138392|41000|0||
780|0075496331884|0075496331884|0075496331884|앙고스투라 5년|138392|54000|0||
780|0075496331891|0075496331891|0075496331891|앙고스투라 그랑아네호 7년|138392|70000|0||
780|0075496331945|0075496331945|0075496331945|앙고스투라 디 아마로|138392|79000|0||
780|0075496331969|0075496331969|0075496331969|앙고스투라 1919|138392|112000|0||
780|0075496332201|0075496332201|0075496332201|앙고스투라 리저바 화이트럼|138392|35000|0||
780|0075496332829|0075496332829|0075496332829|앙고스투라비터 코코아|138392|41000|0||
780|0080244009236|0080244009236|0080244009236|버팔로 트레이스 750|138392|53000|0||
780|0080244009250|0080244009250|0080244009250|버팔로 트레이스|138392|35000|0||
780|0080432400364|0080432400364|0080432400364|시바스리갈12년 200ml|136790|16000|0||
780|0080432400432|0080432400432|0080432400432|시바스리갈 12년|136790|78000|0||
780|0080432402702|0080432402702|0080432402702|시바스리갈 12년|136790|30000|0||
780|0080432402733|0080432402733|0080432402733|시바스리갈 12년 500ml|136790|39000|0||
780|0080432402825|0080432402825|0080432402825|글렌리벳 12년 700ml|136790|104000|0||
780|0080432402931|0080432402931|0080432402931|시바스리갈 12년 700ml|136790|57000|0||
780|0080432402979|0080432402979|0080432402979|글렌그란트 10년700㎖|137834|68000|0||
780|0080480004699|0080480004699|0080480004699|생 제르맹|138392|81000|0||
780|0080480280024|0080480280024|0080480280024|그레이 구스 오리지널|138392|65000|0||
780|0080480281038|0080480281038|0080480281038|그레이 구스 오랑지|136760|67000|0||
780|0080480282042|0080480282042|0080480282042|그레이 구스 시트론|136760|67000|0||
780|0080480283339|0080480283339|0080480283339|그레이 구스 포아|136760|67000|0||
780|0080480301033|0080480301033|0080480301033|봄베이 사파이어|136760|22000|0||
780|0080480505400|0080480505400|0080480505400|바카디 8|138392|60000|0||
780|0080516135427|0080516135427|0080516135427|리유니트 샹그리아 미니|138392|4000|0||
780|0080660001203|0080660001203|0080660001203|1792 스몰배치 750|138392|64000|0||
780|0080660246314|0080660246314|0080660246314|켄터키 젠틀맨 1.75L|138392|30000|0||
780|0080660246352|0080660246352|0080660246352|켄터키 젠틀맨 750|138392|15000|0||
780|0080660570556|0080660570556|0080660570556|몬테쥬마 블루 750|138392|19000|0||
780|0080660577258|0080660577258|0080660577258|몬테 알반 / 메즈칼|138392|56000|0||
780|0080686001409|0080686001409|0080686001409|짐빔 화이트0㎖|138392|33000|0||
780|0080686004592|0080686004592|0080686004592|야마자키 12년 LTO (100주년기념)|136760|510000|0||
780|0080686004608|0080686004608|0080686004608|하쿠슈 12년 LTO (100주년기념)|138392|510000|0||
780|0080686004615|0080686004615|0080686004615|야마자키 18년 LTO|138392|6300000|0||
780|0080686004622|0080686004622|0080686004622|하쿠슈 18년 LTO|138392|6300000|0||
780|0080686011408|0080686011408|0080686011408|부커스|138392|140000|0||
780|0080686012405|0080686012405|0080686012405|베이즐 헤이든|138392|92000|0||
780|0080686015406|0080686015406|0080686015406|베이커스|138392|135000|0||
780|0080686016748|0080686016748|0080686016748|납크릭 라이|138392|78000|0||
780|0080686016762|0080686016762|0080686016762|납크릭 버본 위스키|138392|78000|0||
780|0080686024026|0080686024026|0080686024026|리젠트|138392|127000|0||
780|0080686816072|0080686816072|0080686816072|캐나디언 클럽 6년|138392|29000|0||
780|0080686817703|0080686817703|0080686817703|캐나디안 클럽 12년|138392|48000|0||
780|0080686957195|0080686957195|0080686957195|산토리 AO|138392|129000|0||
780|0080696923470|0080696923470|0080696923470|보리우 빈야드 캘리포니아 카베르네쇼|138392|49000|0||
780|0080696923487|0080696923487|0080696923487|보리우 빈야드 캘리포니아 샤르도네0g|138392|51000|0||
780|0080887493744|0080887493744|0080887493744|16 보글 쁘띠시라|138392|36000|0||
780|0080887493928|0080887493928|0080887493928|17 보글 샤도네이|138392|41000|0||
780|0080887493966|0080887493966|0080887493966|16 보글 까베르네 소비뇽|138392|37000|0||
780|0080887496493|0080887496493|0080887496493|보글 팬텀 샤도네이|137457|45000|0||
780|0081054064958|0081054064958|0081054064958|나파릿지 카베르네 쇼비뇽|136792|45000|0||
780|0081054154352|0081054154352|0081054154352|코스탈릿지 카베르네 쇼비뇽|136792|21000|0||
780|0081054594400|0081054594400|0081054594400|폭스브룩 샤르도네(Fox Brook Chardonn|136792|18000|0||
780|0639770091224|0639770091224|0639770091224|그랜드 나파 카베네쇼비뇽|138392|120000|0||
